0: (0.00000, 0.00000, 0.00000), (0.00000, 0.00000, 0.00000, 1.00000)
1: (-0.00676, -0.00028, -0.00462), (-0.00268, -0.00289, 0.01299, 0.99991)
2: (-0.00657, -0.00066, -0.00415), (-0.00165, -0.00355, 0.01322, 0.99991)
3: (-0.00812, -0.00092, -0.00159), (-0.00007, -0.00209, 0.01250, 0.99992)
4: (-0.00784, -0.00056, -0.00144), (0.00076, -0.00251, 0.01217, 0.99992)
5: (-0.00750, -0.00115, -0.00075), (0.00119, -0.00270, 0.01135, 0.99993)
6: (-0.00727, -0.00095, -0.00063), (0.00193, -0.00224, 0.01044, 0.99994)
7: (-0.00694, -0.00032, -0.00062), (0.00280, -0.00200, 0.00927, 0.99995)
8: (-0.00653, -0.00048, 0.00022), (0.00191, -0.00196, 0.00781, 0.99997)
9: (-0.00670, 0.00025, -0.00030), (0.00184, -0.00148, 0.00797, 0.99997)
10: (-0.00618, -0.00035, 0.00035), (0.00067, -0.00206, 0.00763, 0.99997)
11: (-0.00592, 0.00008, 0.00051), (0.00111, -0.00178, 0.00580, 0.99998)
12: (-0.00544, 0.00102, 0.00069), (0.00129, -0.00103, 0.00330, 0.99999)
13: (-0.00544, 0.00263, 0.00091), (0.00010, 0.00028, -0.00009, 1.00000)
14: (-0.00488, 0.00309, 0.00074), (-0.00283, -0.00044, -0.00283, 0.99999)
15: (-0.00457, 0.00412, 0.00018), (-0.00593, -0.00027, -0.00536, 0.99997)
16: (-0.00492, 0.00428, -0.00017), (-0.00794, -0.00032, -0.00495, 0.99996)
17: (-0.00528, 0.00481, -0.00032), (-0.01016, -0.00058, -0.00491, 0.99994)
18: (-0.00506, 0.00591, -0.00055), (-0.01230, -0.00161, -0.00456, 0.99991)
19: (-0.00482, 0.00695, 0.00000), (-0.01569, -0.00149, -0.00420, 0.99987)
20: (-0.00467, 0.00843, -0.00084), (-0.01848, -0.00137, -0.00445, 0.99982)
21: (-0.00424, 0.00964, -0.00049), (-0.02205, -0.00094, -0.00583, 0.99974)
22: (-0.00388, 0.01179, -0.00007), (-0.02754, 0.00044, -0.00873, 0.99958)
23: (-0.00405, 0.01344, -0.00002), (-0.03199, 0.00102, -0.00983, 0.99944)
24: (-0.00469, 0.01487, 0.00002), (-0.03713, 0.00175, -0.01064, 0.99925)
25: (-0.00390, 0.01653, -0.00024), (-0.04309, 0.00064, -0.01087, 0.99901)
26: (-0.00469, 0.01681, -0.00079), (-0.05058, 0.00077, -0.01077, 0.99866)
27: (-0.00517, 0.01723, -0.00071), (-0.05748, 0.00053, -0.01097, 0.99829)
28: (-0.00496, 0.01646, -0.00069), (-0.06308, 0.00044, -0.01089, 0.99795)
29: (-0.00550, 0.01647, -0.00117), (-0.06621, 0.00132, -0.01182, 0.99773)
30: (-0.00578, 0.01638, -0.00039), (-0.06813, 0.00181, -0.01141, 0.99761)
31: (-0.00637, 0.01610, 0.00033), (-0.06991, 0.00262, -0.01058, 0.99749)
32: (-0.00705, 0.01659, 0.00058), (-0.07134, 0.00311, -0.01058, 0.99739)
33: (-0.00742, 0.01668, 0.00064), (-0.07370, 0.00385, -0.00988, 0.99722)
34: (-0.00753, 0.01691, 0.00151), (-0.07676, 0.00496, -0.01030, 0.99698)
35: (-0.00774, 0.01676, 0.00202), (-0.08037, 0.00626, -0.00927, 0.99670)
36: (-0.00828, 0.01682, 0.00256), (-0.08418, 0.00793, -0.00849, 0.99638)
37: (-0.00919, 0.01634, 0.00328), (-0.08882, 0.00954, -0.00697, 0.99598)
38: (-0.00943, 0.01637, 0.00307), (-0.09266, 0.01083, -0.00707, 0.99561)
39: (-0.01022, 0.01653, 0.00299), (-0.09683, 0.01234, -0.00695, 0.99520)
40: (-0.01067, 0.01664, 0.00349), (-0.10321, 0.01402, -0.00696, 0.99454)
41: (-0.01029, 0.01576, 0.00370), (-0.10563, 0.01399, -0.00692, 0.99428)
42: (-0.01096, 0.01542, 0.00385), (-0.10905, 0.01512, -0.00703, 0.99390)
43: (-0.01224, 0.01527, 0.00380), (-0.11183, 0.01660, -0.00663, 0.99357)
44: (-0.01219, 0.01619, 0.00315), (-0.11367, 0.01638, -0.00675, 0.99336)
45: (-0.01214, 0.01494, 0.00360), (-0.11679, 0.01594, -0.00729, 0.99300)
46: (-0.01280, 0.01569, 0.00292), (-0.11798, 0.01566, -0.00662, 0.99287)
47: (-0.01305, 0.01626, 0.00299), (-0.12100, 0.01439, -0.00659, 0.99253)
48: (-0.01338, 0.01689, 0.00293), (-0.12909, 0.01176, -0.00500, 0.99155)
49: (-0.01406, 0.01692, 0.00289), (-0.13841, 0.00950, -0.00362, 0.99032)
50: (-0.01363, 0.01722, 0.00307), (-0.14368, 0.00753, -0.00414, 0.98959)
51: (-0.01422, 0.01825, 0.00295), (-0.15327, 0.00483, -0.00528, 0.98816)
52: (-0.01430, 0.01875, 0.00242), (-0.16016, 0.00272, -0.00696, 0.98706)
53: (-0.01398, 0.01931, 0.00096), (-0.16641, 0.00038, -0.00938, 0.98601)
54: (-0.01282, 0.01973, 0.00115), (-0.17432, -0.00268, -0.01238, 0.98461)
55: (-0.01211, 0.02052, 0.00061), (-0.17939, -0.00451, -0.01466, 0.98366)
56: (-0.01078, 0.02033, -0.00001), (-0.18567, -0.00637, -0.01618, 0.98246)
57: (-0.01032, 0.02066, -0.00068), (-0.19114, -0.00726, -0.01790, 0.98137)
58: (-0.00976, 0.01939, 0.00060), (-0.19713, -0.00753, -0.01877, 0.98017)
59: (-0.00888, 0.01902, 0.00088), (-0.20229, -0.00701, -0.01846, 0.97913)
60: (-0.00940, 0.01893, 0.00069), (-0.20549, -0.00584, -0.01867, 0.97846)
61: (-0.00842, 0.01835, 0.00157), (-0.21119, -0.00468, -0.01893, 0.97725)
62: (-0.01013, 0.01773, 0.00212), (-0.21869, -0.00188, -0.02042, 0.97558)
63: (-0.00914, 0.01722, 0.00201), (-0.22462, -0.00178, -0.02127, 0.97421)
64: (-0.00919, 0.01664, 0.00138), (-0.23064, -0.00133, -0.02181, 0.97279)
65: (-0.01015, 0.01525, 0.00234), (-0.23758, 0.00032, -0.02181, 0.97112)
66: (-0.00886, 0.01486, 0.00152), (-0.24345, 0.00038, -0.02170, 0.96967)
67: (-0.01035, 0.01277, 0.00085), (-0.25316, 0.00218, -0.02154, 0.96718)
68: (-0.00947, 0.00760, 0.00077), (-0.27427, 0.00175, -0.02197, 0.96140)
69: (-0.01014, 0.00264, -0.00077), (-0.29566, 0.00070, -0.02246, 0.95503)
70: (-0.00393, -0.00123, -0.00049), (-0.31394, -0.00376, -0.02101, 0.94920)
71: (0.00385, -0.00820, 0.00031), (-0.33516, -0.00816, -0.01943, 0.94193)
72: (-0.00599, -0.00855, -0.00556), (-0.35429, 0.00025, -0.01721, 0.93498)
73: (-0.00469, -0.01016, -0.00627), (-0.35868, 0.00337, -0.01316, 0.93336)
74: (-0.00743, -0.01260, -0.00642), (-0.36690, 0.01114, -0.00909, 0.93015)
75: (-0.01043, -0.01182, -0.00766), (-0.37185, 0.01489, -0.00954, 0.92813)
76: (-0.00819, -0.01368, -0.00714), (-0.37475, 0.01303, -0.00909, 0.92699)
77: (-0.00925, -0.01326, -0.00769), (-0.37537, 0.01251, -0.00966, 0.92674)
78: (-0.01009, -0.01908, -0.00306), (-0.38194, 0.01140, -0.00816, 0.92408)
79: (-0.00947, -0.01943, -0.00318), (-0.38434, 0.01027, -0.00719, 0.92311)
80: (-0.01626, -0.02173, -0.00071), (-0.39450, 0.01130, -0.00843, 0.91879)
