62: (0.00948, -0.02995, 0.01995), (0.11815, -0.01144, -0.02015, 0.99273)
63: (0.00909, -0.03058, 0.01803), (0.12128, -0.01088, -0.02113, 0.99233)
64: (0.01032, -0.03326, 0.01719), (0.12230, -0.01199, -0.02188, 0.99218)
65: (0.01221, -0.03547, 0.01384), (0.12674, -0.01320, -0.02302, 0.99158)
66: (0.01275, -0.03740, 0.01262), (0.12999, -0.01337, -0.02275, 0.99116)
67: (0.01414, -0.03955, 0.01094), (0.13350, -0.01427, -0.02228, 0.99069)
68: (0.01480, -0.04260, 0.00797), (0.13683, -0.01479, -0.02076, 0.99027)
69: (0.01585, -0.04766, 0.00461), (0.14008, -0.01637, -0.01880, 0.98983)
70: (0.01535, -0.05290, -0.00033), (0.14757, -0.01851, -0.01623, 0.98875)
71: (0.01709, -0.06054, -0.00290), (0.14847, -0.02353, -0.01408, 0.98854)
72: (0.01676, -0.06449, -0.00557), (0.15000, -0.02611, -0.01197, 0.98827)
73: (0.01633, -0.06776, -0.00870), (0.15288, -0.02916, -0.01111, 0.98775)
74: (0.01660, -0.07073, -0.01038), (0.15159, -0.03247, -0.00844, 0.98787)
75: (0.01701, -0.07441, -0.01215), (0.14268, -0.03531, -0.00429, 0.98913)
76: (0.01655, -0.07342, -0.01294), (0.13558, -0.03586, -0.00357, 0.99011)
77: (0.01526, -0.06925, -0.01320), (0.12962, -0.03682, -0.00278, 0.99088)
78: (0.01200, -0.06255, -0.01347), (0.12160, -0.03881, -0.00182, 0.99182)
79: (0.00920, -0.05883, -0.01315), (0.11329, -0.04050, -0.00032, 0.99274)
80: (0.00714, -0.05347, -0.01154), (0.10302, -0.04215, 0.00035, 0.99379)
81: (0.00356, -0.04969, -0.01157), (0.09275, -0.04311, 0.00279, 0.99475)
82: (0.00092, -0.04681, -0.01189), (0.08407, -0.04557, 0.00598, 0.99540)
83: (-0.00071, -0.04638, -0.01211), (0.07472, -0.04800, 0.00841, 0.99601)
84: (-0.00183, -0.04573, -0.01247), (0.06673, -0.05019, 0.00902, 0.99647)
85: (-0.00370, -0.04456, -0.01285), (0.05929, -0.05214, 0.00873, 0.99684)
86: (-0.00460, -0.04421, -0.01413), (0.05400, -0.05398, 0.00930, 0.99704)
87: (-0.00557, -0.04310, -0.01627), (0.04649, -0.05732, 0.01034, 0.99722)
88: (-0.00542, -0.04281, -0.01710), (0.04088, -0.05965, 0.01029, 0.99733)
89: (-0.00481, -0.04211, -0.01783), (0.03246, -0.06230, 0.00890, 0.99749)
90: (-0.00352, -0.04022, -0.02094), (0.02357, -0.06269, 0.00807, 0.99772)
91: (-0.00303, -0.03888, -0.02240), (0.01443, -0.06074, 0.00730, 0.99802)
92: (-0.00264, -0.03752, -0.02350), (0.00864, -0.05958, 0.00618, 0.99817)
93: (-0.00197, -0.03628, -0.02529), (0.00038, -0.05852, 0.00547, 0.99827)
94: (-0.00146, -0.03592, -0.02609), (-0.00436, -0.05877, 0.00451, 0.99825)
95: (-0.00043, -0.03492, -0.02804), (-0.01035, -0.06024, 0.00425, 0.99812)
96: (-0.00061, -0.03437, -0.02912), (-0.01538, -0.06105, 0.00377, 0.99801)
97: (-0.00001, -0.03379, -0.03050), (-0.01833, -0.06152, 0.00371, 0.99793)
98: (0.00062, -0.03229, -0.03122), (-0.02344, -0.06116, 0.00248, 0.99785)
99: (0.00096, -0.03205, -0.03237), (-0.02874, -0.06109, 0.00229, 0.99772)
100: (0.00115, -0.03013, -0.03273), (-0.03130, -0.06127, 0.00285, 0.99763)
101: (0.00043, -0.02856, -0.03397), (-0.03654, -0.06093, 0.00278, 0.99747)
102: (0.00140, -0.02723, -0.03529), (-0.04227, -0.06200, 0.00253, 0.99718)
103: (0.00131, -0.02657, -0.03541), (-0.04624, -0.06236, 0.00271, 0.99698)
104: (0.00157, -0.02488, -0.03739), (-0.05279, -0.06284, 0.00294, 0.99662)
105: (0.00149, -0.02488, -0.03729), (-0.05814, -0.06369, 0.00337, 0.99627)
106: (0.00211, -0.02359, -0.03786), (-0.06532, -0.06619, 0.00416, 0.99566)
107: (0.00105, -0.02156, -0.04037), (-0.07353, -0.06715, 0.00356, 0.99502)
108: (-0.00004, -0.01961, -0.04241), (-0.08422, -0.06936, 0.00335, 0.99402)
109: (0.00019, -0.01740, -0.04489), (-0.09510, -0.07279, 0.00136, 0.99280)
110: (0.00093, -0.01647, -0.04736), (-0.10530, -0.07362, -0.00001, 0.99171)
111: (0.00200, -0.01228, -0.04962), (-0.11518, -0.07358, -0.00903, 0.99057)
112: (0.00105, -0.01163, -0.05399), (-0.13589, -0.07183, -0.01630, 0.98798)
113: (0.00139, -0.00988, -0.05774), (-0.14799, -0.07177, -0.01943, 0.98619)
114: (0.00252, -0.00991, -0.06103), (-0.16371, -0.07286, -0.02069, 0.98360)
115: (0.00382, -0.00812, -0.06320), (-0.17114, -0.07558, -0.01913, 0.98216)
116: (-0.00009, -0.00989, -0.06537), (-0.17933, -0.07593, -0.01792, 0.98069)
117: (0.00159, -0.00355, -0.06830), (-0.18689, -0.07877, -0.01637, 0.97908)
118: (-0.00039, -0.00380, -0.06867), (-0.19407, -0.07897, -0.01712, 0.97765)
119: (0.00460, -0.00573, -0.06999), (-0.20679, -0.08436, -0.01710, 0.97459)
120: (0.00356, -0.00431, -0.07287), (-0.21419, -0.08617, -0.01629, 0.97285)
121: (0.00290, -0.00620, -0.07592), (-0.22238, -0.08741, -0.01576, 0.97091)
122: (0.00096, -0.00387, -0.07840), (-0.22661, -0.08714, -0.01590, 0.96995)
123: (-0.00213, -0.00460, -0.08168), (-0.23037, -0.08643, -0.01631, 0.96912)
124: (-0.00021, -0.00278, -0.08208), (-0.23173, -0.08930, -0.01662, 0.96853)
125: (-0.00183, -0.00449, -0.08297), (-0.23501, -0.08981, -0.01682, 0.96769)
126: (-0.00603, -0.00780, -0.08227), (-0.24165, -0.08838, -0.01859, 0.96615)
127: (0.00161, -0.00302, -0.08392), (-0.25853, -0.09388, -0.02027, 0.96122)
128: (-0.00467, -0.00354, -0.09441), (-0.27159, -0.09168, -0.02112, 0.95780)
129: (-0.00571, -0.00580, -0.09418), (-0.27588, -0.08905, -0.02244, 0.95680)
130: (-0.00290, -0.00135, -0.09618), (-0.27930, -0.09012, -0.02456, 0.95565)
131: (-0.00182, 0.00112, -0.09774), (-0.28002, -0.09174, -0.02515, 0.95527)
132: (-0.00003, 0.00412, -0.10082), (-0.28066, -0.09490, -0.02561, 0.95476)
133: (-0.00327, 0.00103, -0.09970), (-0.28450, -0.09425, -0.02654, 0.95366)
134: (-0.00248, -0.00075, -0.09915), (-0.28910, -0.09439, -0.02723, 0.95225)
135: (-0.00246, 0.00284, -0.10208), (-0.29289, -0.09327, -0.02772, 0.95118)
136: (-0.00137, 0.00386, -0.10340), (-0.29527, -0.09342, -0.02738, 0.95044)
137: (-0.00297, 0.00456, -0.10446), (-0.29903, -0.09219, -0.02739, 0.94939)
138: (-0.00081, 0.00238, -0.10373), (-0.30208, -0.09325, -0.02614, 0.94835)
139: (0.00001, 0.00285, -0.10392), (-0.30357, -0.09362, -0.02517, 0.94787)
140: (0.00105, 0.00060, -0.10119), (-0.30863, -0.09281, -0.02421, 0.94633)
141: (0.01077, -0.00185, -0.09527), (-0.31746, -0.09406, -0.02518, 0.94326)
142: (0.00870, 0.00387, -0.10210), (-0.32244, -0.08669, -0.02975, 0.94214)
143: (0.00690, 0.00270, -0.10200), (-0.32694, -0.08421, -0.03058, 0.94079)
144: (0.00563, 0.00626, -0.10634), (-0.33118, -0.08144, -0.03398, 0.93943)
145: (0.01363, 0.00901, -0.10746), (-0.34114, -0.08315, -0.03470, 0.93569)
146: (0.01548, 0.00502, -0.10856), (-0.35353, -0.08266, -0.03364, 0.93116)
147: (0.01581, 0.00899, -0.11899), (-0.36783, -0.08366, -0.02946, 0.92565)
148: (0.01502, 0.00855, -0.12310), (-0.37657, -0.08636, -0.02291, 0.92207)
149: (0.01581, 0.00525, -0.12536), (-0.38515, -0.09114, -0.02071, 0.91811)
150: (0.01459, 0.00390, -0.12905), (-0.38979, -0.09217, -0.02017, 0.91606)
151: (0.01240, 0.00818, -0.13470), (-0.39745, -0.08981, -0.01778, 0.91304)
152: (0.01270, 0.00548, -0.13776), (-0.40678, -0.08729, -0.01605, 0.90921)
153: (0.01228, 0.00220, -0.14012), (-0.41594, -0.08612, -0.01331, 0.90521)
154: (0.00903, 0.00293, -0.14458), (-0.41887, -0.08474, -0.01276, 0.90399)
155: (0.00776, 0.00251, -0.14891), (-0.42099, -0.08555, -0.00959, 0.90297)
156: (0.00300, 0.00131, -0.15259), (-0.42314, -0.08944, -0.00355, 0.90163)
157: (-0.00424, 0.00038, -0.15679), (-0.42849, -0.09176, 0.00576, 0.89886)
158: (-0.00211, 0.00264, -0.15724), (-0.43398, -0.09659, 0.00883, 0.89569)
159: (0.00130, 0.00467, -0.15962), (-0.43954, -0.10042, 0.00766, 0.89256)
160: (-0.00033, 0.00380, -0.16184), (-0.44632, -0.10137, 0.00633, 0.88909)
161: (-0.00525, 0.00358, -0.16261), (-0.45252, -0.10235, 0.00281, 0.88586)
162: (-0.00156, 0.00425, -0.16966), (-0.45658, -0.10685, 0.00165, 0.88324)
163: (-0.00335, 0.00409, -0.17447), (-0.46393, -0.11164, -0.00041, 0.87881)
164: (-0.00806, 0.00174, -0.18020), (-0.46788, -0.11467, -0.00292, 0.87632)
165: (-0.00953, 0.00242, -0.18874), (-0.47510, -0.12907, -0.00253, 0.87041)
166: (-0.02139, -0.00132, -0.19221), (-0.48013, -0.13516, -0.00143, 0.86672)
167: (-0.02394, -0.00146, -0.20122), (-0.48143, -0.14574, 0.00343, 0.86428)
168: (-0.02506, -0.00218, -0.19655), (-0.48634, -0.15930, 0.00779, 0.85909)
169: (-0.03046, -0.00426, -0.19410), (-0.48925, -0.16319, 0.00941, 0.85669)
170: (-0.04023, -0.00449, -0.20517), (-0.49090, -0.18220, 0.01323, 0.85185)
171: (-0.04048, 0.00019, -0.21800), (-0.49274, -0.20132, 0.01651, 0.84641)
172: (-0.04609, -0.00419, -0.21198), (-0.50490, -0.21917, 0.01748, 0.83470)
173: (-0.05824, -0.00854, -0.22110), (-0.50561, -0.22738, 0.02501, 0.83188)
174: (-0.06378, -0.01239, -0.21712), (-0.50769, -0.23495, 0.02941, 0.82836)
175: (-0.07215, -0.01480, -0.22818), (-0.50368, -0.24396, 0.03444, 0.82801)
176: (-0.07350, -0.01453, -0.23095), (-0.50059, -0.25246, 0.04147, 0.82702)
177: (-0.07830, -0.01682, -0.23279), (-0.50018, -0.25642, 0.04341, 0.82595)
178: (-0.08064, -0.01707, -0.23121), (-0.50026, -0.26176, 0.04491, 0.82414)
179: (-0.08220, -0.01624, -0.23691), (-0.49845, -0.26625, 0.04621, 0.82372)
180: (-0.08216, -0.01726, -0.23471), (-0.49977, -0.27175, 0.04742, 0.82106)
181: (-0.08657, -0.01833, -0.23923), (-0.49942, -0.27449, 0.04840, 0.82030)
182: (-0.08958, -0.02063, -0.24103), (-0.50049, -0.28086, 0.04884, 0.81746)
183: (-0.08953, -0.02178, -0.24305), (-0.50070, -0.28807, 0.05047, 0.81472)
